Study,effectsizeID,Author,Date,cohen.d,hedge,hedgeg.correction,Vd,Sampling.variance,SE,Frequency,Hemisphere,Control.comparison,Cortical.region,Memorystage,Retrieval,Simulation.timing,Intensity,MTI,notes
1,1,Feurra ,2010,-0.49343,-0.476415172,0.965517241,0.18091,0.160100077,0.400125076,ten,L,a,PFC,enc,fam,on,above,110,Left ifg vs left OFA for context
1,2,Feurra ,2010,-0.3816,-0.368441379,0.965517241,0.173113,0.1581996,0.397743133,ten,L,v,PFC,enc,fam,on,above,110,left ifg v vs vertex for contex
1,3,Feurra ,2010,-0.36732,-0.354653793,0.965517241,0.173059,0.157991896,0.397481944,ten,L,b,PFC,enc,fam,on,above,110,left ifg vs no stim for context
1,4,Feurra ,2010,0.01883,0.01818069,0.965517241,0.166674,0.155378365,0.394180624,ten,L,v,,enc,fam,on,above,110,left ofa vs vert context
1,5,Feurra ,2010,0.067927,0.06558469,0.965517241,0.166761,0.15546109,0.394285544,ten,L,b,,enc,fam,on,above,110,left ofa vs no stim for context
1,6,Feurra ,2010,-0.32877,-0.317433103,0.965517241,0.168857,0.157470736,0.396825825,ten,L,a,PFC,enc,fam,on,above,110,left ifg vs left OFA for non-context
1,7,Feurra ,2010,-0.91819,-0.886528276,0.965517241,0.183815,0.171745163,0.41442148,ten,L,v,PFC,enc,fam,on,above,110,left ifg vs vertex for non-context
1,8,Feurra ,2010,-1.14712,-1.107564138,0.965517241,0.193373,0.180927839,0.425356133,ten,L,b,PFC,enc,fam,on,above,110,left ifg vs no stim for non-context
1,9,Feurra ,2010,-0.71971,-0.694892414,0.965517241,0.17689,0.165431441,0.406732641,ten,L,v,,enc,fam,on,above,110,left OFA vs vert for non-context
1,10,Feurra ,2010,-0.96227,-0.929088276,0.965517241,0.184839,0.173355019,0.416359243,ten,L,b,,enc,fam,on,above,110,left ofa vs no stim for non-context
2,11,Galli ,2017,0.357984737,0.34715269,0.965517241,0.169359929,0.157859493,0.397315357,twenty,L,v,PFC,enc,fam,on,below,90,Deep: DLPFC During Word vs Vertex
2,12,Galli ,2017,0,0,0.965517241,0.166666667,0.155370591,0.394170763,twenty,L,b,PFC,enc,fam,on,below,90,Deep: DLPFC During Word vs none
2,13,Galli ,2017,0.319680624,0.309555448,0.965517241,0.16880815,0.157355366,0.396680434,twenty,L,v,PFC,enc,fam,on,below,90,Deep: DLPFC at word vs vertex
2,14,Galli ,2017,-0.040352608,-0.039006897,0.965517241,0.166700677,0.155402215,0.394210876,twenty,L,b,PFC,enc,fam,on,below,90,Deep: DLPFC at word vs none
2,15,Galli ,2017,0.834641981,0.814512276,0.965517241,0.181493003,0.168900014,0.410974469,twenty,L,v,PFC,enc,fam,on,below,90,Deep: DLPFC 100 ms vs vertex
2,16,Galli ,2017,0.321947612,0.321838759,0.965517241,0.168981481,0.157383616,0.396716039,twenty,L,b,PFC,enc,fam,on,below,90,Deep: DLPFC 100 ms vs none
2,17,Galli ,2017,0.92104072,0.894654069,0.965517241,0.18455412,0.171846011,0.414543135,twenty,L,v,PFC,enc,fam,on,below,90,Deep: DLPFC 200ms vs vertex
2,18,Galli ,2017,0.408024415,0.40452469,0.965517241,0.170323704,0.158603929,0.398251088,twenty,L,b,PFC,enc,fam,on,below,90,Deep: DLPFC 200ms vs none
2,19,Galli ,2017,0.45184725,0.436300828,0.965517241,0.170920794,0.159335763,0.399168841,twenty,L,v,PFC,enc,fam,on,below,90,Deep: DLPFC 300ms vs vertex
2,20,Galli ,2017,0.043380421,0.042285793,0.965517241,0.166706626,0.155407139,0.394217121,twenty,L,b,PFC,enc,fam,on,below,90,Deep: DLPFC 300ms vs none
2,21,Galli ,2017,-0.174701456,-0.169757241,0.965517241,0.167310711,0.155963341,0.394921943,twenty,L,v,PFC,enc,fam,on,below,90,Deep: DLPFC 400ms vs vertex
2,22,Galli ,2017,-0.467493045,-0.451408276,0.965517241,0.171220554,0.159615116,0.399518605,twenty,L,b,PFC,enc,fam,on,below,90,Deep: DLPFC 400ms vs none
